Mode,Prompt#,Identical ratio,Identical ratio (ci),SARI,FKGL,BERTScore,LENS
Fine-tuned,0,0.017447199265381085,0.017447199265381085,37.730813412306816,7.569434852420532,72.84146547317505,45.96751832365052
Prompt-based,0,0.12442607897153352,0.1248852157943067,34.65143076261116,6.27227364405827,51.859551668167114,54.77282364002743
Prompt-based,1,0.6891643709825528,0.6910009182736455,29.78652886033538,9.226437015704892,79.995197057724,60.93941691340187
Prompt-based,2,0.3682277318640955,0.3686868686868687,33.36941597788039,8.671560035970831,76.30810737609863,61.02372539608939
Prompt-based,3,0.33930211202938476,0.34067952249770433,34.17680546432642,8.638612665103881,76.35442614555359,61.43988854595162
Prompt-based,4,0.21120293847566574,0.21212121212121213,37.24064370236791,7.792781368603524,74.68063831329346,63.77870833971169
Prompt-based,5,0.4325068870523416,0.43342516069788795,33.1534673346464,8.757783027052245,77.89614796638489,61.59371926402846
Prompt-based,6,0.2222222222222222,0.2222222222222222,36.652854613101645,7.828639823917047,74.93535280227661,63.15956015359329
Prompt-based,7,0.7203856749311295,0.721763085399449,29.56456164436275,9.142669265096895,79.60383296012878,60.05350787506295
Prompt-based,8,0.2676767676767677,0.2681359044995409,36.08271676130383,8.142955762698083,75.4984974861145,63.129866841439174
Prompt-based,9,0.29935720844811753,0.3002754820936639,35.523201832524656,8.262348523292399,76.25480890274048,62.639990839097614
Prompt-based,10,0.6611570247933884,0.6616161616161617,30.11232365650037,9.125799645198992,79.25387620925903,60.521965836571844
