Mode,Prompt#,Identical ratio,Identical ratio (ci),SARI,FKGL,BERTScore,LENS
Fine-tuned,0,0.0,0.0,37.45394196916765,8.075692471621839,75.45580267906189,41.177953052202405
Prompt-based,0,0.9315886134067952,0.9352617079889807,27.36339578794699,9.258096799439478,81.09923601150513,59.802587222169485
Prompt-based,1,0.871900826446281,0.8737373737373737,28.587196082288738,9.068226183017,80.27327060699463,57.83353306315491
Prompt-based,2,0.0,0.0,18.711395898908542,5.675736694668899,-10.90952530503273,4.035838954951436
Prompt-based,3,0.716712580348944,0.716712580348944,31.169210873762406,8.576765052108659,77.97578573226929,52.929429001550666
Prompt-based,4,0.6694214876033058,0.6694214876033058,31.792839439971996,8.411220820121834,77.18244791030884,51.433766370013736
Prompt-based,5,0.6694214876033058,0.6694214876033058,31.808108966811215,8.404442246668022,77.25862264633179,51.543257656044716
Prompt-based,6,0.8218549127640037,0.8241505968778696,29.641910683273206,8.89736690088169,79.73119616508484,56.3222361442572
Prompt-based,7,0.6974288337924701,0.6974288337924701,31.445573235223183,8.475469168685073,77.52822041511536,52.30680669914216
Prompt-based,8,0.7176308539944903,0.7180899908172635,31.202256265844596,8.55184095917696,77.92754769325256,52.9395742726577
Prompt-based,9,0.6212121212121212,0.6212121212121212,32.206196433189085,8.2369439945066,76.02368593215942,49.71774274964021
Prompt-based,10,0.7961432506887053,0.7966023875114784,30.128180842759537,8.822018554845922,79.29446697235107,55.660992796547
