Mode,Prompt#,Identical ratio,Identical ratio (ci),SARI,FKGL,BERTScore,LENS
Fine-tuned,0,0.04453627180899908,0.04453627180899908,38.383619212818786,7.637469316630035,74.23021197319031,46.453648498051265
Prompt-based,0,0.24242424242424243,0.24242424242424243,36.39454559158917,7.544540836532779,70.71039080619812,61.10002515902134
Prompt-based,1,0.3484848484848485,0.34894398530762166,33.619533162156905,8.788838489012157,77.58060693740845,61.51218048754189
Prompt-based,2,0.26400367309458217,0.26400367309458217,36.24998775024281,8.157363158786648,75.66889524459839,62.92515774713544
Prompt-based,3,0.24517906336088155,0.2465564738292011,37.118181083052434,8.08303571107771,76.68664455413818,62.676409766198844
Prompt-based,4,0.19651056014692378,0.19788797061524335,38.100382474604174,7.551815097830438,73.40307831764221,65.02498989984498
Prompt-based,5,0.39026629935720847,0.391643709825528,34.051322085627646,8.69424086176046,77.63939499855042,62.45274617888971
Prompt-based,6,0.36639118457300274,0.36639118457300274,34.70225099185478,8.709638885151929,77.96793580055237,62.391020046055765
Prompt-based,7,0.7226813590449954,0.7249770431588614,29.222504807919474,9.148942283212225,79.87756729125977,59.77013678845978
Prompt-based,8,0.5068870523415978,0.5082644628099173,32.144788476716045,9.009624085625415,78.76924872398376,62.02615540370876
Prompt-based,9,0.39118457300275483,0.39118457300275483,33.94275125855196,8.70049763138277,77.69277095794678,62.85940063728084
Prompt-based,10,0.3838383838383838,0.3852157943067034,33.055735087932206,8.903096515424103,77.23670601844788,61.49617667028171
